instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
80,2011-03-21,2,0,3,0,1,1,2,41.0,40.9735,73.73910000000001,28.878300000000003,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,41.0,44.0642,62.4583,22.575,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,34.6957,33.7939,83.9565,23.426099999999998,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,28.499999999999996,27.083299999999998,80.58330000000001,24.378700000000002,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,26.4167,25.6312,49.5,23.0725,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,26.583299999999998,25.7571,39.4167,20.9571,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,25.3043,25.0339,49.3913,18.43,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,26.434800000000003,25.757400000000004,30.2174,21.2204,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,30.25,29.2908,31.4167,22.6996,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,30.0,29.735,64.6667,17.2888,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,26.833299999999998,25.7575,91.8333,21.7646,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,30.0,28.345399999999998,68.625,25.8708,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,31.5,31.5637,65.375,19.714599999999997,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,37.833299999999994,37.8767,48.0,18.221300000000003,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,41.0,50.0,42.625,38.5571,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,41.0,39.835,64.2083,38.8067,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,39.0833,38.7608,47.0833,26.3063,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,41.0,43.369600000000005,60.291700000000006,16.2312,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,33.5833,32.447900000000004,83.625,22.6992,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,34.25,34.1529,87.75,13.308300000000001,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,41.0,42.6737,85.75,14.6767,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,41.0,50.0,71.6956,32.4474,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,41.0,49.3054,73.9167,27.4879,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,41.0,41.728300000000004,81.91669999999999,25.0617,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,41.0,46.2742,54.041700000000006,11.07,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,41.0,44.1913,67.125,22.6375,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,41.0,42.5492,88.83330000000001,34.080799999999996,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,41.0,44.5696,47.9583,30.3496,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,41.0,50.0,54.25,16.3567,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,41.0,48.9258,66.5833,15.7971,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,41.0,50.0,61.4167,24.1925,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,41.0,45.3892,40.708299999999994,32.5258,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,33.6667,32.1954,72.9583,21.952099999999998,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,41.0,45.0121,88.79169999999999,23.0725,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,41.0,50.0,81.08330000000001,19.2175,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,41.0,50.0,77.6667,18.5333,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,41.0,50.0,72.9167,32.65,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,41.0,50.0,83.54169999999999,31.22,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,41.0,50.0,70.08330000000001,32.0908,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,41.0,49.7463,45.7083,24.0063,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,41.0,46.402100000000004,50.3333,23.5075,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,41.0,44.8204,76.2083,10.6354,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,41.0,50.0,73.0,18.3454,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,41.0,50.0,69.7083,34.2667,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,41.0,40.465,73.70830000000001,32.8996,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,41.0,44.1917,44.4167,29.539199999999997,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,41.0,47.4117,59.0,22.8246,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,41.0,50.0,54.125,16.045,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,41.0,50.0,63.1667,7.463749999999999,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,41.0,50.0,58.875,17.599999999999998,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,41.0,50.0,48.9167,11.5671,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,41.0,50.0,63.29169999999999,12.0642,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,41.0,50.0,74.75,18.9667,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,41.0,49.43,86.33330000000001,17.9725,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,41.0,50.0,92.25,13.495,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,41.0,50.0,86.70830000000001,15.2979,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,41.0,50.0,78.79169999999999,12.687100000000001,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,41.0,50.0,83.7917,27.7354,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,41.0,50.0,87.0,20.1492,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,41.0,50.0,82.9583,10.8213,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,41.0,50.0,71.9583,12.5013,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,41.0,50.0,62.6667,12.065,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,41.0,50.0,74.9583,14.8008,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,41.0,50.0,81.0,23.3842,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,41.0,50.0,74.0833,20.7092,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,41.0,50.0,69.625,15.423300000000001,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,41.0,50.0,67.75,19.964199999999998,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,41.0,50.0,65.375,24.0679,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,41.0,50.0,72.9583,23.0092,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,41.0,50.0,81.875,21.3938,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,41.0,50.0,68.5,13.1225,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,41.0,50.0,63.6667,11.1329,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,41.0,50.0,67.7083,20.7092,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,41.0,50.0,30.5,29.228700000000003,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,41.0,50.0,35.4167,25.312099999999997,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,41.0,50.0,45.625,12.3142,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,41.0,50.0,65.25,13.869200000000001,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,41.0,50.0,60.0,12.1896,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,41.0,50.0,59.791700000000006,18.7808,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,41.0,50.0,62.20830000000001,13.6817,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,41.0,50.0,56.833299999999994,14.988299999999999,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,41.0,50.0,60.5,14.0554,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,41.0,50.0,65.45830000000001,15.485,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,41.0,50.0,74.7917,16.3567,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,41.0,50.0,49.4583,30.535,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,41.0,50.0,50.708299999999994,26.9283,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,41.0,50.0,47.1667,16.7912,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,41.0,50.0,68.8333,20.6471,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,41.0,50.0,73.5833,14.3029,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,41.0,50.0,67.0417,11.9408,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,41.0,50.0,66.6667,10.2,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,41.0,50.0,74.625,15.5475,699,3311,4010
